1678476474.893631,-1.51
1678476474.899297,-2.04
1678476474.914385,-2.63
1678476474.924397,-3.48
1678476474.940385,-4.37
1678476474.954117,-5.18
1678476474.962759,-5.75
1678476474.979768,-6.14
1678476474.993354,-6.4
1678476475.005853,-6.48
1678476475.019,-6.45
1678476475.029561,-6.53
1678476475.044559,-6.77
1678476475.054123,-7.04
1678476475.064121,-7.41
1678476475.079522,-7.68
1678476475.097014,-8.07
1678476475.111014,-8.38
1678476475.12312,-8.63
1678476475.131702,-8.81
1678476475.148163,-8.89
1678476475.158187,-8.93
1678476475.174748,-8.68
1678476475.184766,-8.31
1678476475.198785,-7.86
1678476475.214157,-7.27
1678476475.227142,-6.56
1678476475.240245,-5.98
1678476475.253257,-5.32
1678476475.262845,-4.65
1678476475.277953,-4.07
1678476475.287952,-3.45
1678476475.303994,-2.79
1678476475.314152,-2.26
1678476475.330211,-1.88
1678476475.343926,-1.6
1678476475.355509,-1.42
1678476475.365503,-1.08
1678476475.381633,-0.49
1678476475.393663,0.23
1678476475.407873,0.81
1678476475.417868,1.18
1678476475.43272,1.51
1678476475.447706,1.81
1678476475.460067,2.15
1678476475.469145,2.54
1678476475.48412,2.98
1678476475.498908,3.28
1678476475.512901,3.6
1678476475.525002,3.99
1678476475.533144,4.41
1678476475.551247,4.75
1678476475.564258,5.08
1678476475.574271,5.37
1678476475.590394,5.66
1678476475.602939,5.94
1678476475.612959,6.16
1678476475.628159,6.32
1678476475.642914,6.47
1678476475.65298,6.73
1678476475.666759,7.05
1678476475.676776,7.31
1678476475.694242,7.54
1678476475.704261,7.76
1678476475.719243,7.89
1678476475.733301,7.99
1678476475.746365,8.2
1678476475.759357,8.44
1678476475.772369,8.7
1678476475.782436,8.97
1678476475.797414,9.22
1678476475.808505,9.35
1678476475.823356,9.37
1678476475.838083,9.3
1678476475.845167,9.22
1678476475.863319,9.13
1678476475.872931,9.09
1678476475.889019,9.05
1678476475.898998,8.93
1678476475.913009,8.69
1678476475.928693,8.25
1678476475.938229,7.69
1678476475.953225,7.06
1678476475.965738,6.39
1678476475.9805,5.73
1678476475.993746,5.15
1678476476.006898,4.63
1678476476.019869,4.15
1678476476.02897,3.78
1678476476.042978,3.54
1678476476.054121,3.27
1678476476.068188,2.92
1678476476.083187,2.48
1678476476.093187,2.12
1678476476.108187,1.91
1678476476.122788,1.66
1678476476.13501,1.37
1678476476.145004,1.06
1678476476.158008,0.67
1678476476.174126,0.24
1678476476.184143,-0.17
1678476476.197256,-0.53
1678476476.214486,-0.85
1678476476.224503,-1.09
1678476476.235623,-1.28
1678476476.252774,-1.52
1678476476.266615,-1.79
1678476476.27962,-2.05
1678476476.292905,-2.29
1678476476.302892,-2.55
1678476476.31902,-2.79
1678476476.330945,-2.98
1678476476.340944,-3.17
1678476476.354635,-3.5
1678476476.368142,-3.95
1678476476.381545,-4.52
1678476476.394117,-5.14
1678476476.407942,-5.73
1678476476.422942,-6.39
1678476476.436015,-6.86
1678476476.446012,-7.09
1678476476.461017,-7.15
1678476476.473027,-7.15
1678476476.487888,-7.25
1678476476.500858,-7.4
1678476476.513851,-7.56
1678476476.526844,-7.6
1678476476.53674,-7.53
1678476476.551728,-7.43
1678476476.566483,-7.33
1678476476.577484,-7.26
1678476476.588002,-7.12
1678476476.603109,-6.92
1678476476.614115,-6.71
1678476476.6314,-6.46
1678476476.644413,-6.17
1678476476.657276,-5.88
1678476476.670284,-5.59
1678476476.683324,-5.24
1678476476.695407,-4.79
1678476476.708491,-4.36
1678476476.718202,-3.96
1678476476.733289,-3.67
1678476476.744124,-3.49
1678476476.758186,-3.35
1678476476.77424,-3.27
1678476476.785379,-3.23
1678476476.799597,-3.16
1678476476.812583,-3.03
1678476476.826215,-2.9
1678476476.837997,-2.73
1678476476.849146,-2.48
1678476476.864242,-2.2
1678476476.874238,-1.93
1678476476.889246,-1.64
1678476476.904256,-1.32
1678476476.914249,-0.97
1678476476.929884,-0.6
1678476476.943409,-0.3
1678476476.955496,-0.07
1678476476.968488,0.15
1678476476.981479,0.35
1678476476.994472,0.53
1678476477.007747,0.75
1678476477.017878,1.02
1678476477.032993,1.3
1678476477.044502,1.6
1678476477.059675,1.92
1678476477.072734,2.27
1678476477.084878,2.55
1678476477.094891,2.76
1678476477.109728,3.0
1678476477.124402,3.31
1678476477.137868,3.62
1678476477.144628,3.86
1678476477.163647,4.09
1678476477.174749,4.3
1678476477.18772,4.53
1678476477.202711,4.8
1678476477.214393,5.1
1678476477.226527,5.41
1678476477.238035,5.78
1678476477.253176,6.15
1678476477.264379,6.53
1678476477.279861,6.91
1678476477.29367,7.21
1678476477.305133,7.47
1678476477.315147,7.72
1678476477.332855,7.97
1678476477.34499,8.1
1678476477.357981,8.11
1678476477.368056,8.03
1678476477.383054,7.84
1678476477.393054,7.63
1678476477.408052,7.39
1678476477.423099,7.11
1678476477.434505,6.81
1678476477.447721,6.51
1678476477.462706,6.25
1678476477.475783,5.98
1678476477.488756,5.77
1678476477.501747,5.58
1678476477.514863,5.41
1678476477.526796,5.32
1678476477.53869,5.44
1678476477.553487,5.55
1678476477.564497,5.56
1678476477.578002,5.47
1678476477.588191,5.24
1678476477.602732,4.87
1678476477.617749,4.46
1678476477.627744,4.36
1678476477.643112,4.65
1678476477.653121,4.89
1678476477.668099,4.85
1678476477.679143,4.51
1678476477.694132,4.15
1678476477.704119,4.0
1678476477.722173,4.11
1678476477.734225,4.36
1678476477.748464,4.24
1678476477.754626,3.68
1678476477.774488,2.99
1678476477.787864,2.13
1678476477.797894,2.16
1678476477.812889,3.09
1678476477.822887,3.83
1678476477.838993,3.9
1678476477.85262,3.63
1678476477.865483,3.31
1678476477.878623,3.22
1678476477.891618,3.29
1678476477.90477,3.58
1678476477.916636,3.87
1678476477.926629,4.0
1678476477.939268,3.93
1678476477.953327,3.66
1678476477.969408,3.18
1678476477.982398,2.72
1678476477.995606,2.49
1678476478.008618,2.38
1678476478.017731,2.24
1678476478.032734,2.07
1678476478.047714,1.9
1678476478.057893,1.81
1678476478.072891,1.74
1678476478.08289,1.66
1678476478.09791,1.6
1678476478.10901,1.46
1678476478.123015,1.26
1678476478.138028,1.13
1678476478.148051,1.01
1678476478.163217,0.9
1678476478.173164,0.73
1678476478.18818,0.61
1678476478.203552,0.53
1678476478.21464,0.34
1678476478.226455,0.27
1678476478.24145,0.14
1678476478.253049,-0.1
1678476478.269144,-0.35
1678476478.279122,-0.66
1678476478.291065,-1.0
1678476478.30412,-1.31
1678476478.319117,-1.55
1678476478.334115,-1.78
1678476478.344265,-2.1
1678476478.35817,-2.47
1678476478.373291,-2.82
1678476478.385898,-2.95
1678476478.398899,-3.06
1678476478.411883,-3.41
1678476478.424874,-3.83
1678476478.438036,-4.17
1678476478.448174,-4.73
1678476478.464801,-5.2
1678476478.476795,-5.0
1678476478.489898,-4.56
1678476478.502881,-4.46
1678476478.513016,-4.81
1678476478.527984,-5.4
1678476478.537982,-5.88
1678476478.552982,-5.87
1678476478.566754,-5.44
1678476478.577878,-4.96
1678476478.59288,-4.62
1678476478.602897,-4.53
1678476478.617734,-4.54
1678476478.632705,-4.37
1678476478.644373,-3.67
1678476478.657769,-2.66
1678476478.667847,-1.93
1678476478.681427,-1.77
1678476478.693999,-1.89
1678476478.708995,-1.86
1678476478.723993,-1.6
1678476478.733988,-1.12
1678476478.748154,-0.59
1678476478.759246,-0.26
1678476478.776157,-0.16
1678476478.787247,-0.15
1678476478.802246,0.07
1678476478.813997,0.61
1678476478.823994,1.38
1678476478.836256,2.09
1678476478.853257,2.48
1678476478.862771,2.44
1678476478.877532,2.27
1678476478.888264,2.33
1678476478.904377,2.48
1678476478.918875,2.54
1678476478.931886,2.42
1678476478.944992,2.41
1678476478.957789,2.66
1678476478.970761,2.85
1678476478.983756,2.83
1678476478.995866,2.59
1678476479.009934,2.26
1678476479.019495,2.18
1678476479.035902,2.31
1678476479.04803,2.43
1678476479.058079,2.44
1678476479.07412,2.32
1678476479.084112,2.17
1678476479.100143,1.98
1678476479.11328,2.01
1678476479.124251,2.21
1678476479.139374,2.34
1678476479.152939,2.12
1678476479.162938,1.71
1678476479.174128,1.4
1678476479.189118,1.25
1678476479.203145,1.05
1678476479.213124,0.95
1678476479.228123,1.08
1678476479.243458,1.21
1678476479.254628,1.07
1678476479.265752,0.69
